dT,i_heat,p_heat,t_calc,v_heat,x0,theta,di0,di2,delta
0.0,0.0,0.0,113.72147357517441,0.9600575978939853,-486.00011985587605,9.989484682920672,0.0015430552365451045,-0.00023651259789403412,0.0
0.5902082954222436,1.0,0.02086372761959801,114.31168187059666,20.86372761959801,-488.0522640833814,0.37873694303846567,0.00786877884684728,0.0002083790377582773,0.0
2.2894551123800966,2.0,0.08153479528260407,116.01092868755451,40.76739764130203,-488.1135036380931,0.5335435113469729,0.01424631614099331,0.00013542280248657335,0.0
5.0501494696513305,3.0000000000000004,0.18201320298901824,118.77162304482574,60.67106766300606,-488.14793592247133,0.46635720621412313,0.033087123737071455,0.00029611732043122174,0.0
8.800562032076556,4.0,0.3222989507388403,122.52203560725097,80.57473768471007,-488.23228069432173,0.5039931837278379,0.04844127522710118,-0.00041961899023590377,0.0
13.453161792400905,5.0,0.5023920385320705,127.17463536757532,100.47840770641409,-488.17758271415886,0.5266521529140034,0.06565266739688319,-6.246661484965446e-05,0.0
18.91304099511366,6.000000000000001,0.7222924663687089,132.63451457028808,120.38207772811813,-488.1562115743989,0.5283648163663024,0.08174198017613787,-0.00016737073792683077,0.0
25.084970556952115,7.000000000000001,0.9820002342487553,138.80644413212653,140.28574774982215,-488.2327115020046,0.5486056812848321,0.105681696930716,-5.292916739563225e-05,0.0
31.87842791106739,8.0,1.2815153421722094,145.5999014862418,160.18941777152617,-488.2251535258544,0.5693214908925721,0.11632111491362351,0.00028276582361286273,0.0
39.21060806857504,9.000000000000002,1.6208377901390723,152.93208164374946,180.0930877932302,-488.19311303820996,0.5897156185459431,0.13631160770876719,-0.00019741175947274314,0.0
47.00780123768142,10.0,1.999967578149342,160.72927481285583,199.9967578149342,-488.2031514797927,0.6251780641285054,0.14492239228170734,0.0002422347679384984,0.0
55.20562866342904,11.000000000000002,2.4189047062030213,168.92710223860345,219.90042783663827,-488.28177325847383,0.6349396525941748,0.15872664361302424,0.0004410760921018664,0.0
63.748579849299475,12.000000000000002,2.877649174300108,177.4700534244739,239.8040978583423,-488.3007951898059,0.6621611433564852,0.16637317541955415,2.574935297161573e-05,0.0
72.58918569350134,13.0,3.3762009824406016,186.31065926867575,259.7077678800463,-488.2492245144332,0.6795333867299003,0.17489536189196475,0.00025081739840970835,0.0
81.68705119961773,14.000000000000002,3.914560130624505,195.40852477479214,279.6114379017503,-488.2922614018141,0.714008420448907,0.18301788655719273,0.000581267801408103,0.0
91.00788253938354,15.000000000000002,4.492726618851816,204.72935611455796,299.51510792345437,-488.2956760737687,0.7342326044550738,0.19637235899828862,0.0003991143989878765,0.0
100.52258085432747,16.0,5.110700447122534,214.2440544295019,319.41877794515835,-488.33065558811796,0.7573651705097078,0.1983630764802283,0.0004200962957838783,0.0
110.20643528075679,17.000000000000004,5.768481615436663,223.9279088559312,339.32244796686246,-488.362626116597,0.7488244419329373,0.20793732162154316,0.0006957103996683145,0.0
120.03842412688662,18.000000000000004,6.466070123794197,233.75989770206104,359.22611798856644,-488.28931972864797,0.800249816580239,0.21218665756244393,0.00038242571099544875,0.0
130.00062038771358,19.0,7.203465972195138,243.722093962888,379.12978801027043,-488.30428996742626,0.8210172457359504,0.22574061081142321,0.0005788849975942868,0.0
140.0776917121065,20.0,7.980669160639489,253.79916528728094,399.0334580319744,-488.3534635733713,0.8377196234998512,0.22471774677473266,0.00033235627688554825,0.0
