x0,beta,i0,i1,i2,Tmc
-452.4776128109825,2.5182911016540444,0.03386141274475732,0.006496521028192039,1.6928902664702485,516.8009033203125
-454.7446354750041,2.4299576326941965,0.035428693074281585,0.007608181668486812,1.703854082550708,515.327880859375
-452.88709215463336,1.7254369749401748,0.024847290623757422,0.005445144784472413,1.693208009343678,511.44647216796875
-454.7188428269744,1.638804071559989,0.02501030874325034,0.005751395804017227,1.7019664502502403,507.4117736816406
-453.054485759167,2.472903849006057,0.03459746559003738,0.006914101110768628,1.692251459569647,508.6588134765625
-454.96759418544536,2.831200682441828,0.03998423896071071,0.008406174621482833,1.7012942734560867,505.21807861328125
-452.8040228430404,1.986532055797498,0.028482319405141336,0.0057993205499256165,1.6918760215699455,501.5074157714844
-454.8631284383532,2.080776523931885,0.028763429011853362,0.006363641701109798,1.7019993607231065,506.0120849609375
-452.7645211272113,1.874795393053226,0.024920969525184276,0.005027447599641747,1.6916609920649561,494.1778869628906
-454.9139851393159,2.166703431400032,0.036152799628247245,0.007981764353822234,1.703351219919231,487.8357238769531
-452.9001862244511,1.9771537871280132,0.029909187546124618,0.00593773540043241,1.6913178161030178,469.84320068359375
-455.15087225648404,2.5919646225133675,0.04752448656245111,0.01006686036724924,1.700881460231545,461.8475646972656
-452.79979643476577,1.89010951788714,0.029607389703638923,0.0059835376529202115,1.6931023482907874,442.63922119140625
-454.8176962834322,1.8468445902221373,0.030715216995706354,0.006654417323803972,1.7034078646320263,439.1335754394531
-452.92372605207123,1.7858410712268857,0.029230883977775735,0.0058976736508314365,1.6921914204191992,429.7228698730469
-454.9556849135206,1.9778041218431546,0.03428527779601165,0.007667049623278649,1.702011432926576,433.1702880859375
-452.71743491714017,1.42939393757767,0.024450137511836403,0.005169746412794282,1.6905768601652622,410.508544921875
-455.097116497894,1.545256543117503,0.029427199694071773,0.006896650943757488,1.7020149400406794,390.0474548339844
-453.0068917794646,1.5820101151804682,0.030991718599154793,0.0063289496357055545,1.693659757020697,366.6856384277344
-455.14198644584525,1.4532343983493818,0.03154098641736651,0.007138798841865966,1.702909713971434,344.927978515625
