x0,theta,di0,di2,epsilon,field
-315.96645212477165,0.412554959998038,0.1210354528020012,-0.0002905534187361847,0.0010486330402432091,-5.0
-316.1407472311854,0.41677904766751656,0.12348708015531212,-8.373544915814838e-05,0.0029368098039944147,-4.933333333333333
-316.48326419442157,0.42131958822004956,0.12406653865487309,-0.00025431102327522285,-0.011115199624515364,-4.866666666666667
-316.66594210313303,0.42511168542793515,0.12295166117917362,-6.136757540859618e-09,0.00780916049345893,-4.8
-316.8083834999351,0.41650488180218354,0.12258471367550354,-0.00024135086222190673,0.0023619301071031405,-4.733333333333333
-317.021732621328,0.41305782877825736,0.1264158719406881,-0.00034447759973652465,0.03815899377424412,-4.666666666666667
-317.0938300461369,0.41621268813978174,0.1237076214716553,-0.00021613943620183598,0.023911939830965,-4.6
-317.29985710726135,0.4056984387503388,0.12624219083396043,-2.7731138202977785e-05,-0.008177174316543483,-4.533333333333333
-317.48719137935467,0.41031837959122813,0.12676981476643023,-0.0002769958649523319,0.00037001658489042724,-4.466666666666667
-317.6757114526554,0.41036809601113067,0.13071295973995267,-0.0004879003550004766,-0.0062644248112172654,-4.4
-317.8669152010028,0.4148981921704979,0.12675822236503628,-0.0003774812954656026,-0.0007985715276391751,-4.333333333333333
-318.087817531844,0.41711883982652026,0.12955310974923934,-0.0001442297416249041,-0.02846950313961575,-4.266666666666667
-318.32727220115964,0.4146492371928869,0.13158575265690206,-0.0003497753236345896,-0.011469815550812064,-4.2
-318.5276947899342,0.4126076110754679,0.1290749046426978,-0.0004253167156440009,-0.007417516579684014,-4.133333333333333
-318.7495759141679,0.40629633396761394,0.13334818446312077,-0.0002286201717309154,-0.02505596441287058,-4.066666666666666
-318.8966874754127,0.40635520210350623,0.13735006397825755,-1.4439567106041442e-05,0.025641823763869892,-4.0
-319.1407072067527,0.41060009925303426,0.13369959150848487,-0.00023816588263467957,0.02965458441713687,-3.933333333333333
