dT,i_heat,p_heat,t_calc,v_heat,x0,theta,di0,di2,epsilon
0.0,0.0,0.0,57.44580778109433,0.9600575978939853,-489.18020653085847,6.205617960291782,0.0007331065924688555,0.0007185288558460445,1.9999693654174444
0.28740852789575655,1.0,0.02086372761959801,57.73321630899009,20.86372761959801,-488.10264266128377,0.20000000000000004,0.003748427331755677,-3.3242740359643144e-05,-0.3726481193383192
1.115169122039923,2.0,0.08153479528260407,58.560976903134254,40.76739764130203,-488.2968754448695,0.2459454172234537,0.0065607714724296865,-2.8428487164614885e-05,-0.932229025607261
2.4608870286579005,3.0000000000000004,0.18201320298901824,59.90669480975223,60.67106766300606,-488.25329224394164,0.22911941827925197,0.015819411010190253,0.00013108568996291048,-0.6188957836935916
4.29070059862169,4.0,0.3222989507388403,61.73650837971602,80.57473768471007,-488.3739762420896,0.2382921259552041,0.022897852338952508,2.549940011960481e-05,-0.7800513003005243
6.563106969269015,5.0,0.5023920385320705,64.00891475036335,100.47840770641409,-488.31502828568887,0.25399572413988725,0.03111504878214424,0.00010378864050913635,-0.7160332020343915
9.232870856311209,6.000000000000001,0.7222924663687089,66.67867863740554,120.38207772811813,-488.28804548610464,0.25652861280141104,0.03884672009549297,0.00016203202774177965,-0.6852148179934162
12.254346586396892,7.000000000000001,0.9820002342487553,69.70015436749122,140.28574774982215,-488.36428865858943,0.265886323954224,0.05050223748490555,0.00022191021828588724,-0.6612873746795228
15.583892817938604,8.0,1.2815153421722094,73.02970059903294,160.18941777152617,-488.37111775422596,0.2740625869113405,0.05528922699280053,0.00035802143299548905,-0.7081259209837076
19.181361924090936,9.000000000000002,1.6208377901390723,76.62716970518527,180.0930877932302,-488.3387171688525,0.28503725172170585,0.06498795272238121,0.0003075212711383524,-0.6815200798222233
23.01082290389469,10.0,1.999967578149342,80.45663068498902,199.9967578149342,-488.3536529626194,0.30258522701962576,0.06925239673154115,0.0005113969674795383,-0.6666237541212328
27.040735656572437,11.000000000000002,2.4189047062030213,84.48654343766677,219.90042783663827,-488.4226003438094,0.308023263630959,0.07648360011659981,0.00039216008007750004,-0.6103510983526818
31.24377976794875,12.000000000000002,2.877649174300108,88.68958754904308,239.8040978583423,-488.4499709820231,0.3182501781384422,0.08041866551977675,0.00039467006382600564,-0.6175082089513289
35.5964953605658,13.0,3.3762009824406016,93.04230314166013,259.7077678800463,-488.407052190243,0.3325146423872258,0.08345261923083953,0.000729071015757161,-0.6466687215617134
40.07884410190583,14.000000000000002,3.914560130624505,97.52465188300016,279.6114379017503,-488.45571813030045,0.3480556213173416,0.08764779262207642,0.0007412167761935633,-0.6352367823342481
44.67375739917239,15.000000000000002,4.492726618851816,102.11956518026672,299.51510792345437,-488.4612039693799,0.35778866783521807,0.09420372777088669,0.000917722901053817,-0.6270502914738217
49.36670916810827,16.0,5.110700447122534,106.8125169492026,319.41877794515835,-488.4978894894444,0.36926497523454277,0.09536467410343939,0.0007344960605213918,-0.6110337500654006
54.145331106145434,17.000000000000004,5.768481615436663,111.59113888723977,339.32244796686246,-488.53282452816075,0.3677250422350313,0.09924087750805272,0.0012758865529883107,-0.6378444916085645
58.99907658910615,18.000000000000004,6.466070123794197,116.44488437020048,359.22611798856644,-488.4761439757152,0.38926463344759515,0.10148333439943769,0.0010592290358996616,-0.6495528576478415
63.91893269379841,19.0,7.203465972195138,121.36474047489274,379.12978801027043,-488.49176738024613,0.4005923526091291,0.10805572732621699,0.001165963767702157,-0.637199989548239
68.89717651877629,20.0,7.980669160639489,126.34298429987062,399.0334580319744,-488.5387238819508,0.40847220237844417,0.10797148208966732,0.0012401042955653458,-0.6166107238886885
