Tmc,beta,i0,i1,i2,x0
434.555419921875,1.8769528508319573,0.03199572638714859,0.006492569250472505,1.6869706138605325,-453.3134323512992
430.798583984375,1.4854517756239907,0.02565502020562952,0.006674937762719854,1.6841688325343274,-453.6040745568268
429.3336181640625,1.6088576530422443,0.027857422980769025,0.00632742485146835,1.6867436473829043,-453.77571256742164
432.24005126953125,1.9335866681447464,0.032215292264436375,0.007128206515901369,1.6865733907395657,-453.7302724135919
431.6007385253906,1.9647261073526487,0.033425684341571664,0.007484613684941626,1.6882753955535756,-453.71280881912946
385.9068298339844,1.6919740970827803,0.03287746748485103,0.007552288549397151,1.6647625174753014,-453.42690738985465
384.09881591796875,1.4081450759574414,0.02661550302461859,0.00617788035774789,1.6646293789598696,-453.51807731397616
383.99285888671875,1.6717000852325283,0.03335970853999505,0.007719139025560236,1.6649144761137944,-453.4713746970288
381.82757568359375,1.3302680086923357,0.026479426181995502,0.006321850805272273,1.6641610162105653,-453.4831523644698
384.2486877441406,1.8453901896096943,0.03458461838398204,0.007955463228088044,1.6639904105878458,-453.62538148564795
349.6807861328125,1.4568797832703169,0.03223728398574515,0.007431496579052479,1.6662745000379264,-452.998981576487
345.2232360839844,1.3834116960568639,0.02892885806468152,0.006656895089472317,1.6669604642043232,-453.07370874309476
355.2458801269531,1.5557579123758463,0.03419240792944105,0.008043632142417668,1.6665468248239337,-453.2968836403484
352.49383544921875,1.5546252317895413,0.03395412477474854,0.00790258855689861,1.6664001875217187,-453.28261323450135
353.439208984375,1.4931030407840977,0.03337199753990269,0.007796415338690542,1.6657267827124547,-453.3231146023343
314.5564880371094,1.2270296071114428,0.031118934537316838,0.007276970222126766,1.6658172628766306,-453.1243936642508
315.9017639160156,1.2556140912446987,0.03216058601135558,0.00772716379663163,1.6653699164271776,-453.39670774730274
315.3907470703125,1.3723137988649978,0.032472343427267236,0.007752303470898035,1.6657156299196114,-453.2874675103854
318.1690673828125,1.3199469044161238,0.03250645033975171,0.007769352774117119,1.6655967357745776,-453.2176591060577
