x0,theta,i0,i1,i2,i_heat,p_heat,T_electron
-487.7842320285113,0.46594851938421417,0.3849406084178282,0.08399179743285257,6.403502663448827,-20.0,8.10814555734396,127.10994514441188
-487.7048250434804,0.47110114783861395,0.3984780232462419,0.08884781544646206,6.401048947962551,-19.0,7.300811121240259,121.96975804506519
-487.72157101545224,0.4273187275983757,0.3841625616306688,0.08365491053959706,6.40261346751894,-18.000000000000004,6.535345804877581,116.88756991819089
-487.65200963703876,0.417668276372502,0.37607203178114584,0.08186194227662304,6.415637789265896,-17.000000000000004,5.805682740174236,111.82827614699323
-487.75303585801623,0.4009417991900074,0.38336841925666587,0.08340282134379826,6.413071229391153,-16.0,5.118157714605331,106.84216189763747
-487.75634368231465,0.3775498629298761,0.38483735981588074,0.08359967212655581,6.4137059147550755,-15.000000000000002,4.482012300286442,102.01182502128256
-487.70019769069575,0.3475536859096455,0.38089115847080657,0.08370649998454673,6.4185988716341384,-14.000000000000002,3.893471613992006,97.32970553680624
-487.7355595503514,0.360419721339705,0.3918362255640549,0.08577800852305177,6.414220015156689,-13.0,3.3496760297566652,92.79380372996704
-487.74860693998903,0.3521117798906795,0.3862521721156069,0.0844386506557028,6.416945971839332,-12.000000000000002,2.8548811096698055,88.464775169826
-487.70760878956025,0.3063708247448027,0.38309704902922787,0.08323947418714489,6.418724364070613,-11.000000000000002,2.394196882960387,84.23442012469204
-487.637471536697,0.29203230243475,0.3904214349589477,0.0853320554932875,6.422835185766205,-10.0,1.9742317090276629,80.18374636874371
-487.66377254704037,0.2800091888493207,0.3857085251655806,0.08454206275056886,6.424397987364139,-9.000000000000002,1.6024149226723243,76.41848759332319
-487.59361540520297,0.2604920716116337,0.3846636572407058,0.08385531649587534,6.430363696070451,-8.0,1.2689648428931832,72.87648034712417
-487.6686974356434,0.26302785919116095,0.3821368379126966,0.08313871560800329,6.423911782270845,-7.000000000000001,0.9722933464217933,69.57372400470919
-487.65718267518275,0.23437777142270086,0.38539594442756514,0.08305884850936981,6.424032289774963,-6.000000000000001,0.7153633050620557,66.58114588084024
-487.72569520808315,0.24400315240348738,0.3924496395009471,0.0852717935146438,6.422171137810482,-5.0,0.4989145600120537,63.95148484798741
-487.7921285610274,0.22771575012207917,0.387035785037971,0.08289310635289232,6.419356752574359,-4.0,0.3220482321921736,61.719590579821556
-487.7951284787664,0.21661839861749546,0.38771095224493773,0.08455970783116794,6.428438282060833,-3.0000000000000004,0.18285215628566226,59.90461508867304
-487.6080193626414,0.20378227913260996,0.3935058783272529,0.08578862581597019,6.439187940837284,-2.0,0.08144510502461344,58.54695477540492
-487.632656965007,0.20000000066792525,0.3882945153458157,0.08417569604278136,6.437544339592664,-1.0,0.020156760001555085,57.71092976954443
-487.58542992681026,0.20000000000009238,0.3906259786488648,0.08477234448575532,6.443128281215425,0.0,0.0,57.43331518501771
-487.6184550463767,0.22837898161951398,0.39811852547138576,0.08776069532473826,6.435957850612536,1.0,0.01978619184228592,57.70583806750015
-487.6392640488907,0.200662628695753,0.38557182598764866,0.08207439095665334,6.436915745095551,2.0,0.08114873344311492,58.542940742496114
-487.6412482092879,0.22980583367188714,0.39280570465860526,0.08670654566305269,6.441036415022194,3.0000000000000004,0.18371811165707191,59.9160762197395
-487.6590607305367,0.2241306295020722,0.3934328645326696,0.08454245784099058,6.449624297063819,4.0,0.326304929330945,61.77425329907473
-487.6445090666432,0.22924300496803895,0.3878448415473115,0.08411055727568859,6.445140717590112,5.0,0.5073448483017273,64.0559258676015
-487.6492582859535,0.24715376898726057,0.38532879923302144,0.0836561225162389,6.447968924540306,6.000000000000001,0.7294865936273711,66.74913101136983
-487.6754846173705,0.24601560682168416,0.38911884941796204,0.08289216607007875,6.448122727427353,7.000000000000001,0.98672800231725,69.73804097940214
-487.65326977439497,0.30123175171010647,0.3911223613231768,0.08457859754216943,6.450596094298811,8.0,1.2855952372774482,73.05720225222625
-487.62926058809757,0.3238003274510703,0.39887509653307374,0.08718885956547359,6.447724431445034,9.000000000000002,1.6250722546828915,76.65322247148247
-487.6549729854792,0.2949032663480278,0.38303319955642184,0.0825322893842673,6.4458207967343935,10.0,2.0048225997015834,80.48568775690129
-487.65610806646845,0.30846867090267116,0.38266289360447225,0.08239412720705824,6.449563798589972,11.000000000000002,2.4286517000291505,84.55813335887267
-487.601906679081,0.3153386430203739,0.37722907959468777,0.07848203589030536,6.4514773021542124,12.000000000000002,2.893559227231891,88.8107784915978
-487.71825295973383,0.31999225249361063,0.3783736844861374,0.08137075420835287,6.452390539711958,13.0,3.400083573069424,93.22354382355569
-487.6860427249408,0.3554869995140288,0.38772613038225756,0.084466087102063,6.448415710090541,14.000000000000002,3.9461317355744554,97.75777696593042
-487.67033219623676,0.3558908917715942,0.38466109470038623,0.08302654971016055,6.453648252943159,15.000000000000002,4.5293250877875835,102.37892223986621
-487.6740942754244,0.3882120544189577,0.38424194055976535,0.08376613917116774,6.453672844296905,16.0,5.154239013791084,107.10960418662592
-487.62490200910946,0.3953693524566352,0.385553745117853,0.08353282616702554,6.457397747641202,17.000000000000004,5.819542100653053,111.92650400149866
-487.63473347595334,0.40009340122700227,0.3856309103158565,0.0842415509834241,6.45307741902409,18.000000000000004,6.529922713525595,116.8507756013254
-487.6862065293376,0.4357185376560832,0.38348585801189194,0.08306033804073937,6.451749907523362,19.0,7.282581820618361,121.85119133250464
-487.6866817627544,0.4242266033382804,0.38420268446588796,0.08370883535427873,6.4511455979643175,20.0,8.07759934104979,126.91925090300795
