x0,theta,di0,di2,delta,field
-487.6658629374373,0.5927539598212016,0.14808802129968396,0.00011110071395545773,-0.014666232108648595,-4.0
-487.7679608037462,0.5605515017573024,0.15256472310895905,-4.0743994066731714e-05,-0.03368420143789016,-3.9333333333333336
-487.8687094135444,0.6029500921368542,0.14867382670213913,-8.976717307799722e-05,-0.049239784642362706,-3.8666666666666667
-488.0621781375651,0.5773172231472365,0.1478148691877002,-6.11661668849961e-05,-0.011408944265047554,-3.8
-488.33523400227364,0.5509663929863359,0.15763520940469886,-0.00013044029614038975,0.0020928551981603165,-3.7333333333333334
-488.2912475536765,0.5838902303663169,0.14715102086670162,-0.0001568244788219545,0.011195672359602253,-3.6666666666666665
-488.3386291092595,0.581248616628966,0.14663666970738215,0.00010409780384707299,-0.014692685355221143,-3.6
-488.45351872716225,0.5334332608622645,0.1490978106462664,0.00020788531143509605,-0.04886574627495516,-3.5333333333333337
-488.584864924384,0.6230529572030059,0.13784729400115836,3.1552720472591416e-05,-0.03426245917699429,-3.4666666666666663
-488.7572568153574,0.5747117950311116,0.1475076800976706,6.430034186021734e-05,0.007719226897572902,-3.4
-488.89450736386783,0.5639393631396329,0.1431808174107868,8.193785275048004e-05,-0.06304336246014976,-3.333333333333333
-489.032388434122,0.5742661150941409,0.14575242070276542,0.00015796319875141526,-0.022761410285112832,-3.2666666666666666
-489.0841624246875,0.5344055668232077,0.1558503740723208,0.00028597229654220437,-0.03224642525433214,-3.2
-489.51290115176806,0.5828534668395299,0.14108040479400255,2.046105775039307e-05,-0.022906608159615798,-3.133333333333333
-489.6336745146508,0.5877109371865872,0.14104731732873688,-4.568726161136389e-05,-0.04011395919037169,-3.0666666666666664
-489.77634149438575,0.5876399468897074,0.14211944541592925,0.00010215797490821143,-0.019921290640256384,-3.0
-489.7566624411144,0.580803389283414,0.1321945969425882,3.6679351136021036e-05,0.00665020020086691,-2.933333333333333
-490.02950712598556,0.5505883432860442,0.14445003640732035,-0.00011512038189129298,0.005869736273626651,-2.8666666666666667
-489.9294156576809,0.5870664424371732,0.13627886549850912,0.00023349740543165964,0.029554114047523533,-2.8
-490.0714506286083,0.5808276291110842,0.13807869834229575,-8.767213323991525e-05,-0.02663104629979006,-2.733333333333333
-490.0955725719276,0.5942404656586099,0.13924732931346656,1.1848049810476387e-05,-0.03497700038156343,-2.6666666666666665
-490.15400082532045,0.5930005427288806,0.12957711869017205,0.00014829643073203868,-0.028864969525624628,-2.6
-490.2810488746793,0.5762293581703843,0.12960474416390905,4.128652578643711e-05,-0.05163302359543651,-2.533333333333333
-490.3813171947147,0.5701664155524837,0.13005424238289207,-0.0001596728892488223,-0.031039889223871263,-2.4666666666666663
-490.46992327683284,0.5706741827459462,0.1307461691526575,-6.40226616574588e-05,-0.018887584670070807,-2.4
-490.579946279446,0.5513787791394067,0.13456698195135564,0.0003188707287822117,-0.021382329548291504,-2.333333333333333
-490.57205995870186,0.5867626589579181,0.13351352525305676,0.0002818085775217372,-0.023983327232821885,-2.2666666666666666
-490.6137737519317,0.5633921899883868,0.1303352645341704,0.00010033951268417364,-0.04486806610734306,-2.2
-490.6509368738519,0.5959646778424066,0.12717115858054934,0.00035934381498354406,-0.050573474226172914,-2.133333333333333
-490.870235411167,0.5735660338371475,0.12583944780707715,0.00015297607161660084,-0.030539911388440873,-2.0666666666666664
-490.8360729787694,0.6035662757325116,0.1264522907908104,0.00040393074228647577,-0.06882973043529182,-1.9999999999999998
-490.9132316605521,0.5955285443462646,0.12368930403086345,0.0002047264511731829,-0.06076353911925574,-1.9333333333333331
-490.93237641279114,0.5765216650689534,0.12817525365469992,0.00020615914874377297,-0.0422788993660237,-1.8666666666666665
-490.9106410742979,0.588743224155474,0.13034811746705344,0.00064759893364523,-0.06508665321540671,-1.8
-491.00357828446005,0.5555029788934205,0.12998436984583125,0.0007375326451697654,-0.06570537888787188,-1.733333333333333
-491.11655562299563,0.5649210032083694,0.12649398501207468,0.0004263042387836366,-0.03774020237061712,-1.6666666666666665
-491.15561197857664,0.5498310593751397,0.130136752116094,0.00015182432928370724,-0.052737484493962074,-1.6
-491.1897568814697,0.5874437421871875,0.12527511183091755,0.0003063193818959097,-0.10090488307552954,-1.533333333333333
-491.17164517500265,0.5442414057314283,0.13003574141721033,0.00019785382716398493,-0.08303601718199849,-1.4666666666666666
-491.20374549898975,0.5433488290347642,0.12820152089371034,0.0003536045778508633,-0.09256787378034223,-1.4
