Tmc,beta,i0,i1,i2,temp,x0
500.0,2.7922267399414378,0.8211936891887515,0.09994216446394733,4.201483958457456,,-369.1636292220929
500.0,2.418452789995196,0.7397274580259323,0.0930195453748012,4.196497405542337,,-369.47969778672484
500.0,2.462159243764145,0.7956789003123809,0.09924060281372776,4.201261508490958,,-369.4449970166809
500.0,2.7719927592679694,0.9013211549314952,0.11603045154905797,4.204396294929067,,-369.3667660149842
500.0,2.5916537256534817,0.9171816039948777,0.12219559189280815,4.20896050338343,,-369.3557012666725
500.0,2.5222179638291333,0.8247907409920322,0.1082026246994194,4.195313214035478,,-369.3904965118115
500.0,1.9418246455950852,0.6852105078087387,0.08692183489386623,4.207517496285824,,-369.3338863772599
500.0,2.598730602873515,0.9393535927812738,0.12934449380172985,4.1981434785991265,,-369.4677552134345
500.0,2.384749539700156,0.7866831025817086,0.10090423282587012,4.202206974553414,,-369.3589024373775
500.0,2.2673502807856174,0.7667813767303109,0.09509772149676446,4.19862467033304,,-369.16108600562876
400.0,1.494777282670037,0.5672277785417836,0.09506757129983516,4.397697285864977,,-370.1620753685672
400.0,1.859004049144196,0.9007709672194738,0.0960490477307388,4.139337164511061,,-369.67058741974984
400.0,1.5488563932820174,0.6260140289755591,0.08965182938120085,4.339871305932466,,-369.9612137286804
400.0,1.5285595550726525,0.6031751934924927,0.09277216087566123,4.384728295853246,,-370.0915596710345
400.0,1.8616975586417372,0.7290826134772104,0.08558427740918148,4.232282935235742,,-369.5025855897696
400.0,1.674803582666053,0.6470918397550848,0.0994004905549555,4.364609285265911,,-370.18456568521225
400.0,1.9082332711723717,0.8922324582438133,0.09843630863040223,4.202699187932163,,-369.4138201162264
400.0,1.3732747788562614,0.6671355868190971,0.092016343150237,4.292286038301985,,-370.1620241129285
400.0,1.6543219245269283,0.6907025762316097,0.09351429718225099,4.304507720828919,,-370.2387405288624
400.0,1.8770672046524794,0.7840246200690826,0.10007390980392997,4.278093508938894,,-369.99263054708564
350.0,1.5748179381014555,0.7663096943238554,0.09695189385280557,4.313662698530008,,-369.60370512634313
350.0,1.6371847262691839,0.8078035046894599,0.10240085619312524,4.307339902138291,,-369.735388453216
350.0,1.667742390931094,0.8507581750696539,0.10617531129685788,4.2859451701098,,-369.6481906703028
