x0,theta,i0,i1,i2,Tmc
-483.93579689127745,0.7674991978586574,0.023462284975724626,0.006382032861848859,1.6604379764733437,399.8433
-483.32084091710163,0.9100944536604202,0.03103523327572951,0.008069963511361107,1.6599335302569846,358.40695
-483.2074767765989,0.5425343662316195,0.02428944581992636,0.006747172777213839,1.657775835287258,327.60147
-483.2011337565629,0.5721997627742755,0.026700218295114545,0.007303285720671056,1.6559790542423045,298.7535
-482.8701073564792,0.5286341552665802,0.027690272302000336,0.007575481925668135,1.656775226782527,275.85822
-482.8398439245582,0.5142184966765628,0.027725142604376075,0.007511738483085567,1.6567779522059312,259.15338
-482.7677837119475,0.4738540934829065,0.026509150762697754,0.007366727789132204,1.6556021725433125,243.71901
-482.87546219450604,0.4463628155341962,0.02506928490754594,0.007160769402440901,1.6548656486534132,229.68988
-482.9007141518938,0.4816408782142841,0.030678879234723826,0.008315421511161793,1.6533255256647632,218.18832
-482.7906163628699,0.4163258272006643,0.02742045050810859,0.007537394493234814,1.6529073371116767,206.43594
-482.6478347167919,0.48303807725366266,0.02994457773704087,0.008346513750545652,1.6536723954509827,198.89365
-482.83850136759776,0.4094383732974201,0.02722608718066197,0.007623217117191683,1.6523387512777712,190.15796
-482.6682269151438,0.40189047415925633,0.02855187205359311,0.007936438551484341,1.6524060973288757,182.52257
-482.9062443566294,0.38047270424329854,0.02878925131311328,0.007867181639908145,1.654135794148061,173.84781
-482.676466740752,0.37758475174534833,0.02879301188885935,0.008023582009128978,1.6586284687824016,163.1383
-482.71061413946836,0.35429212707877417,0.02875243512951853,0.008083499535413305,1.6590203725625488,161.4972
-482.87312824753946,0.32493846739994814,0.02830685836732895,0.007962613249374677,1.6582042119738867,155.68573
-482.57642325076523,0.37137165207937406,0.029287765760669045,0.008089557189450829,1.6595436784534967,154.72447
-482.6488555968097,0.308362034565246,0.028727894570227185,0.0081756548403114,1.6572293092166932,147.61362
-482.472478048306,0.33877937834779276,0.029378194924921868,0.008148958364863512,1.6567887419578602,141.83437
-482.2434398186549,0.3143291279796213,0.028777278248238745,0.00807627592259419,1.6565327078537788,138.54805
-482.34472354033153,0.36546152955658573,0.029810526720344396,0.008361821984467032,1.656911072221914,140.46838
-482.50065025944224,0.30187630677453137,0.02942356945546224,0.008241472213489011,1.6596991956608742,137.45879
-482.773084880559,0.3010050090237008,0.02762383146978561,0.00813639663031367,1.658661055309721,135.77782
-482.78183279988207,0.28339468920686106,0.027946631573383136,0.007904793037742622,1.6585155674586471,136.95369
-482.5416922043066,0.3041618799521406,0.028237841542618186,0.007862407378630426,1.658179534276522,141.33719
-482.5937126209133,0.30489901919459694,0.02852130486229673,0.007935260198867377,1.6571450490357287,142.48766
-482.5593046281656,0.2708938948663246,0.02851763941015615,0.00810577007197977,1.6559496856378357,102.67448
-482.62422079482315,0.2893905303291027,0.02975373361156793,0.00834719871679108,1.6545543989227083,78.25545
-482.40653016757483,0.24839899841394025,0.028563094012474748,0.008021786683919922,1.6544501164144891,66.47321
-482.51712537290115,0.23367183194050656,0.02879394704069486,0.00811014779768846,1.6548263518929394,59.021202
-482.329069952243,0.229939408235758,0.028990915435238625,0.008135539418884402,1.6555536540254603,52.514206
-482.4275420547614,0.20894855208680055,0.028597552655002797,0.007964004202151298,1.6549637962300259,46.267662
-482.60214664476916,0.21417554279364967,0.02938860612122403,0.00830820453672357,1.6538800124812902,40.70632
-482.32246584511216,0.21421883195456456,0.029040348758039118,0.008218864267624923,1.6558770294806273,36.125175
-482.28389789141784,0.21293083541943292,0.028757437356716074,0.008084939664951956,1.6553583750288328,32.253593
-482.3354535560087,0.20405927788818518,0.028743372053214915,0.008151186702200023,1.6558329946245538,29.23513
-482.46768028945854,0.19619056626517326,0.029077005289846376,0.008192781500709853,1.6556936186703906,26.89647
-482.48499063267343,0.19193340216196247,0.02869237712633739,0.008052786201047336,1.6563500441817651,25.097271
